frame id    time of this frame   mean time
1  250.596  74.2557
2  68.0038  70.5
3  44.541  61.461
4  34.1065  54.3147
5  33.6726  49.9584
6  32.7825  46.9269
7  31.0217  44.5098
8  31.1511  42.7152
9  31.7653  41.3901
10  32.0889  40.2045
11  31.7262  39.3352
12  29.7646  38.4632
13  30.0518  37.7394
14  29.7514  37.0987
15  30.1546  36.5761
16  29.6844  36.0888
17  29.64  35.6605
18  29.446  35.2614
19  29.9836  34.9284
20  29.1758  34.5947
21  29.2695  34.291
22  29.0237  34.0044
23  29.6056  33.7746
24  29.3079  33.5492
25  29.7405  33.3598
26  29.9344  33.1942
27  29.165  33.0131
28  29.614  32.8573
29  29.4948  32.7081
30  29.7446  32.5779
31  31.1507  32.4967
32  32.9819  32.4761
